step,phi,phidot,H,Potential,Kinetic,Era
0,0.5643408759124088,0.000000000002432565,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
1,0.5643408759124088,0.00000018667574045764325,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
2,0.5643408759124088,0.0000003733490483502865,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
3,0.5643408759124088,0.0000005600223562429297,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
4,0.5643408759124088,0.000000746695664135573,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
5,0.5643408759124088,0.0000009333689720282162,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
6,0.5643408759124088,0.0000011200422799208595,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
7,0.5643408759124088,0.0000013067155878135027,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
8,0.5643408759124088,0.000001493388895706146,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
9,0.5643408759124088,0.0000016800622035987892,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
10,0.5643408759124088,0.0000018667355114914324,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
11,0.5643408759124088,0.0000020534088193840757,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
12,0.5643408759124088,0.000002240082127276719,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
13,0.5643408759124088,0.000002426755435169362,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
14,0.5643408759124088,0.0000026134287430620054,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
15,0.5643408759124088,0.0000028001020509546486,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
16,0.5643408759124088,0.000002986775358847292,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
17,0.5643408759124088,0.000003173448666739935,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
18,0.5643408759124088,0.0000033601219746325783,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
19,0.5643408759124088,0.0000035467952825252215,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
20,0.5643408759124088,0.0000037334685904178648,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
21,0.5643408759124088,0.000003920141898310508,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
22,0.5643408759124088,0.000004106815206203151,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
23,0.5643408759124088,0.0000042934885140957945,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
24,0.5643408759124088,0.000004480161821988438,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
25,0.5643408759124088,0.000004666835129881081,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
26,0.5643408759124088,0.000004853508437773724,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
27,0.5643408759124088,0.000005040181745666367,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
28,0.5643408759124088,0.000005226855053559011,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
29,0.5643408759124088,0.000005413528361451654,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
30,0.5643408759124088,0.000005600201669344297,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
31,0.5643408759124088,0.00000578687497723694,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
32,0.5643408759124088,0.0000059735482851295835,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
33,0.5643408759124088,0.000006160221593022227,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
34,0.5643408759124088,0.00000634689490091487,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
35,0.5643408759124088,0.000006533568208807513,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
36,0.5643408759124088,0.0000067202415167001565,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
37,0.5643408759124088,0.0000069069148245928,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
38,0.5643408759124088,0.000007093588132485443,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
39,0.5643408759124088,0.000007280261440378086,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
40,0.5643408759124088,0.000007466934748270729,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
41,0.5643408759124088,0.000007653608056163373,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
42,0.5643408759124088,0.000007840281364056016,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
43,0.5643408759124088,0.000008026954671948659,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
44,0.5643408759124088,0.000008213627979841302,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
45,0.5643408759124088,0.000008400301287733946,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
46,0.5643408759124088,0.000008586974595626589,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
47,0.5643408759124088,0.000008773647903519232,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
48,0.5643408759124088,0.000008960321211411875,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
49,0.5643408759124088,0.000009146994519304518,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
50,0.5643408759124088,0.000009333667827197162,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
51,0.5643408759124088,0.000009520341135089805,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
52,0.5643408759124088,0.000009707014442982448,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
53,0.5643408759124088,0.000009893687750875091,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
54,0.5643408759124088,0.000010080361058767735,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
55,0.5643408759124088,0.000010267034366660378,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
56,0.5643408759124088,0.000010453707674553021,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
57,0.5643408759124088,0.000010640380982445664,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
58,0.5643408759124088,0.000010827054290338308,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
59,0.5643408759124088,0.00001101372759823095,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
60,0.5643408759124088,0.000011200400906123594,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
61,0.5643408759124088,0.000011387074214016237,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
62,0.5643408759124088,0.00001157374752190888,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
63,0.5643408759124088,0.000011760420829801524,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
64,0.5643408759124088,0.000011947094137694167,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
65,0.5643408759124088,0.00001213376744558681,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
66,0.5643408759124088,0.000012320440753479453,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
67,0.5643408759124088,0.000012507114061372097,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
68,0.5643408759124088,0.00001269378736926474,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
69,0.5643408759124088,0.000012880460677157383,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
70,0.5643408759124088,0.000013067133985050026,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
71,0.5643408759124088,0.00001325380729294267,2435000000000000000,105467127301875000000000000000000000000000000000000000000000000000000000000,5316742744057187000000000000000000000,radiation
